Bankrupt?, Net Income to Total Assets, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, ROA(C) before interest and depreciation before interest, Net worth/Assets, Debt ratio %, Persistent EPS in the Last Four Seasons, Retained Earnings to Total Assets, Net profit before tax/Paid-in capital, Per Share Net profit before tax (Yuan ¥), Current Liability to Assets, Working Capital to Total Assets, Net Income to Stockholder's Equity, Borrowing dependency, Current Liability to Current Assets, Liability to Equity, Net Value Per Share (A), Net Value Per Share (B), Net Value Per Share (C), Current Liabilities/Equity, Current Liability to Equity, Working Capital/Equity, Operating Profit Per Share (Yuan ¥), Operating profit/Paid-in capital, Liability-Assets Flag, Total expense/Assets, Equity to Long-term Liability, CFO to Assets, Tax rate (A), Cash/Total Assets, Gross Profit to Sales, Operating Gross Margin, Realized Sales Gross Margin
1,0.716845343217827,0.424389446140427,0.40574977247176,0.370594257300249,0.792423738549445,0.207576261450555,0.16914058806845,0.903224771166726,0.137757333534424,0.138736160277171,0.147308450425486,0.67277529248986,0.82789021403512,0.390284354359258,0.11825047660899,0.29020189277926,0.147949938898487,0.147949938898487,0.147949938898487,0.339077006789355,0.339077006789355,0.721274551521743,0.0959205276443286,0.0958848339765825,0,0.064855707690831,0.126549487816618,0.52038191789012,0.0,0.004094405952288,0.601453290101533,0.601457213277793,0.601457213277793
1,0.795297136043035,0.53821412996075,0.516730017666899,0.464290937454297,0.828823653898479,0.171176346101521,0.2089439349532,0.931065217577487,0.168961616770983,0.16991790314077,0.0569628274180797,0.751110917003808,0.839969268005573,0.376760019951553,0.0477752815903248,0.283845979801729,0.182251064009102,0.182251064009102,0.182251064009102,0.329740147869877,0.329740147869877,0.731975288512351,0.0937220096083381,0.0937433843047209,0,0.0255158599950638,0.120916105834965,0.567101308703163,0.0,0.0149477269714099,0.610236525929872,0.610235085544617,0.610235085544617
1,0.774669696989803,0.499018752725687,0.472295090743616,0.426071271876371,0.792484203525108,0.207515796474892,0.180580504869056,0.90990336247412,0.148035593092527,0.142803344128945,0.0981620645437837,0.829501914934622,0.836774308550174,0.379092920106557,0.0253464891288078,0.290188532942043,0.177910749652353,0.177910749652353,0.193712865028865,0.334776851319847,0.334776851319847,0.742728637603645,0.0923377575116033,0.0923184653215431,0,0.0213874282332057,0.117922319423666,0.538490539586983,0.0,0.0009909444511248,0.601449340486212,0.601450006486113,0.601363524985947
1,0.739554525158061,0.451264718709115,0.457733283366347,0.399844001364988,0.848535235964567,0.151464764035432,0.193722227474709,0.906902158837211,0.147560515798205,0.148602847028696,0.0987146304496934,0.725754179688242,0.834697106753341,0.379742687599394,0.0672496172630687,0.281721192981814,0.154186507100417,0.154186507100417,0.154186507100417,0.33150897867186,0.33150897867186,0.729824908743367,0.0777623971989252,0.0777272949338023,0,0.0241610701740241,0.12076045528683,0.604105056187593,0.0,0.0188506248270314,0.583537612244893,0.583541129160121,0.583541129160121
1,0.79501587263578,0.538432184910597,0.522297767546443,0.465022181055916,0.893490945369894,0.106509054630105,0.212536636097192,0.91385019745186,0.167460975793681,0.168411538751224,0.110194845896651,0.751822452472965,0.839972745788203,0.375025442703033,0.0477253717624306,0.278513789880418,0.167502422991024,0.167502422991024,0.167502422991024,0.33072631939891,0.33072631939891,0.731999641010921,0.0968976467714356,0.0969270604328497,0,0.0263852456518637,0.110933233663468,0.578468903211134,0.0,0.0141609737513009,0.598781509888099,0.598783493564335,0.598783493564335
1,0.710420495100948,0.415176624509376,0.419133786605279,0.388680349046946,0.819572512622064,0.180427487377936,0.174435095017491,0.903041267113845,0.137825201719327,0.138811478496648,0.13900210638427,0.686728646249993,0.829938957445841,0.38144818747302,0.099521933114496,0.285087100359518,0.15557709325355,0.15557709325355,0.15557709325355,0.335534372009755,0.335534372009755,0.725201638712989,0.0780881035746275,0.0781018450665234,0,0.0400936219797891,0.112917172167462,0.622190123354673,0.0,0.0026452256427289,0.590172326668232,0.590171377506162,0.590250652214647
0,0.736619097683939,0.445704317488007,0.436158252583115,0.390922829425243,0.783898176980984,0.216101823019016,0.161482461945731,0.911441407767521,0.127939069451776,0.128944791745123,0.115920411679634,0.729416462238773,0.829979763773696,0.384998982291879,0.060765124792415,0.292504124196417,0.158821794277527,0.158821794277527,0.158821794277527,0.337392013222506,0.337392013222506,0.728730796471968,0.0999104307466819,0.0998664647352908,0,0.0928023065929925,0.120561366466385,0.56065299962732,0.0,0.0229885979786101,0.619948867179148,0.619949840729904,0.619949840729904
0,0.815350392476567,0.570922372437854,0.559077038385353,0.508360551845171,0.891797926051335,0.108202073948665,0.22520563486811,0.935449309245632,0.179518889978131,0.180462453867591,0.0870418011288855,0.797005213929915,0.841459439726482,0.374219104729994,0.0302011045942807,0.278607305606177,0.176983692216931,0.176983692216931,0.176983692216931,0.329803725937385,0.329803725937385,0.734946410014,0.104796026382216,0.104784470825802,0,0.0254821527696264,0.114507968841708,0.610090811581399,0.157607045247495,0.0146159133960059,0.601739340003798,0.601738278153332,0.60171665777829
0,0.803647289792132,0.545137374618404,0.5432839017078,0.48851947545459,0.941409438582701,0.058590561417299,0.218398411647915,0.935200209287994,0.172158962370862,0.173156586578293,0.0580597284096259,0.813737522948239,0.840486633095349,0.370253398138601,0.021710461445184,0.276422514083071,0.184189456828621,0.184189456828621,0.184189456828621,0.328092755880752,0.328092755880752,0.735182054757404,0.0951876882989984,0.0952090152588467,0,0.0298840610686264,0.110933233663468,0.574032785264356,0.0058710395789047,0.145189217702725,0.603613451066988,0.603612043990256,0.603612043990256
0,0.804194656500343,0.550915830789359,0.542962685368596,0.495685662750451,0.878707258820328,0.121292741179672,0.217831143046232,0.938289896761562,0.175657944348088,0.176621224674249,0.0945633028255581,0.825695870708439,0.840688177069564,0.374508760118367,0.0254943019553504,0.279387518743906,0.177447220934642,0.177447220934642,0.177447220934642,0.330409487644987,0.330409487644987,0.737180245673185,0.109844475205602,0.109873467194294,0,0.0358910619841396,0.11549897825205,0.645146286139048,0.392448628403685,0.0087727909152724,0.599205074060972,0.599208694273483,0.599208694273483
